iter	MAE
775	28295.7621
776	28288.11264
777	28275.54192
778	28273.37943
779	28271.23976
780	28239.31092
781	28234.34917
782	28228.35356
783	28225.68609
784	28198.79418
785	28182.27728
786	28178.11301
787	28165.02974
788	28153.70403
789	28136.60997
790	28091.13055
791	28087.90919
792	28057.42313
793	28042.30943
794	28025.85623
795	28019.63889
796	28007.92471
797	28002.69465
798	27993.534
799	27974.5326
800	27963.65131
801	27959.93194
802	27956.22656
803	27954.28693
804	27950.09649
805	27945.67012
806	27941.65275
807	27939.11572
808	27931.74645
809	27924.36759
810	27921.36363
811	27894.77749
812	27885.79328
813	27883.28041
814	27872.76415
815	27865.426
816	27857.28674
817	27854.72978
818	27837.52201
819	27833.61764
820	27828.86098
821	27825.95358
822	27822.17477
823	27815.17661
824	27812.54833
825	27806.15187
826	27804.99751
827	27788.67406
828	27786.43273
829	27780.77711
830	27774.29865
831	27758.64491
832	27746.11611
833	27734.8727
834	27730.68912
835	27721.8565
836	27719.78742
837	27717.32609
838	27714.37544
839	27698.3757
840	27682.3737
841	27674.89587
842	27666.86739
843	27663.55169
844	27661.48632
845	27659.27602
846	27609.39734
847	27606.46583
848	27604.72506
849	27582.44028
850	27539.84475
851	27536.46328
852	27475.68112
853	27466.74486
854	27453.75069
855	27449.3775
856	27446.26782
857	27419.59749
858	27411.60832
859	27407.91575
860	27405.49295
861	27401.87436
862	27390.91427
863	27386.66194
864	27367.01311
865	27323.9707
866	27272.35705
867	27262.60944
868	27259.41922
869	27258.18728
870	27253.74621
871	27247.37653
872	27246.21734
873	27243.45491
874	27239.59897
875	27237.41224
876	27233.42885
877	27230.71631
878	27227.65194
879	27226.63441
880	27179.08226
881	27178.07026
882	27171.31259
883	27165.51503
884	27150.79793
885	27147.76459
886	27142.49483
887	27133.91231
888	27108.49348
889	27103.93168
890	27100.33613
891	27093.30272
892	27083.29385
893	27050.64548
894	27042.87961
895	27017.57394
896	27016.36182
897	26973.65812
898	26970.47582
899	26968.94349
900	26959.96997
901	26952.872
902	26934.40604
903	26928.06173
904	26922.57523
905	26917.27857
906	26912.45385
907	26910.56331
908	26904.74894
909	26902.78629
910	26899.43256
911	26886.70437
912	26877.5527
913	26866.64951
914	26862.24918
915	26859.67001
916	26851.09649
917	26848.39122
918	26827.98716
919	26815.07644
920	26814.44091
921	26812.90938
922	26810.5168
923	26806.53454
924	26796.46775
925	26780.96934
926	26755.87246
927	26751.08187
928	26742.19651
929	26731.6258
930	26725.72475
931	26722.40973
932	26718.05718
933	26710.01597
934	26705.97968
935	26701.70474
936	26685.21134
937	26682.77913
938	26679.48724
939	26677.66496
940	26662.80574
941	26658.58125
942	26654.81611
943	26643.4589
944	26640.57453
945	26563.09957
946	26559.13086
947	26553.85516
948	26505.83677
949	26502.34386
950	26497.09262
951	26470.80413
952	26469.2135
953	26446.65205
954	26445.36258
955	26407.8107
956	26406.42173
957	26399.52708
958	26395.91455
959	26393.35001
960	26390.77981
961	26389.03226
962	26385.78896
963	26383.87271
964	26376.77363
965	26374.62625
966	26373.55756
967	26364.70049
968	26362.5349
969	26359.53701
970	26345.09347
971	26296.55207
972	26281.87686
973	26274.85372
974	26259.34667
975	26255.7844
976	26243.66769
977	26205.34618
978	26201.21325
979	26199.43133
980	26197.88603
981	26192.68185
982	26190.21777
983	26180.05998
984	26132.46698
985	26112.02055
986	26063.32276
987	26054.53101
988	26053.28403
989	26036.95009
990	26031.31791
991	26022.20196
992	26020.76401
993	25990.58532
994	25977.03273
995	25975.35868
996	25971.78293
997	25969.54242
998	25967.43343
999	25926.15716
