usableAreas,totalAreas,suites,bathrooms,bedrooms,parkingSpaces,neighborhood,monthlyCondoFee,price,adult_game_room,air_conditioning,balcony,barbecue_grill,concierge_24h,dinner_room,electronic_gate,elevator,furnished,garden,gated_community,gourmet_space,gym,intercom,laundry,party_hall,pets_allowed,playground,service_area,sports_court,pool,price_per_sqft
35,55.0,0.0,1,1,1.0,Centro,300.0,275000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000.0
70,80.0,1.0,2,3,1.0,outros,330.0,400000,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,5000.0
77,77.0,1.0,2,3,1.0,Água Verde,590.0,650000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8441.558441558442
32,53.0,0.0,1,1,1.0,outros,186.0,168000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3169.811320754717
93,93.0,1.0,3,3,2.0,outros,650.0,820000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8817.20430107527
29,41.0,0.0,1,1,1.0,Água Verde,170.0,199900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4875.609756097561
78,99.0,1.0,2,3,1.0,Vila Izabel,460.0,719000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7262.626262626262
86,86.0,2.0,3,2,2.0,outros,532.01741195093,756500,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8796.511627906977
73,73.0,1.0,2,2,1.0,outros,532.01741195093,480000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6575.342465753424
27,45.0,0.0,1,1,1.0,Cristo Rei,450.0,245000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5444.444444444444
27,39.0,0.0,1,1,0.0,outros,532.01741195093,261812,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6713.128205128205
68,90.0,1.0,2,2,1.0,Cabral,550.0,397500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4416.666666666667
108,108.0,1.0,3,3,2.0,outros,700.0,700000,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,6481.481481481482
90,90.0,1.0,2,3,1.0,Vila Izabel,545.5098039215686,550000,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,6111.111111111111
66,79.0,1.0,2,3,2.0,Cidade Industrial,649.0,420000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5316.455696202532
50,50.0,3.0,1,2,1.0,outros,350.0,300000,False,False,True,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,6000.0
133,197.0,1.0,3,2,2.0,Cabral,630.0,599000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3040.6091370558374
31,31.0,0.0,1,1,0.0,Centro,590.0654275092937,180000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5806.451612903225
24,34.0,0.0,1,1,0.0,outros,532.01741195093,287028,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,8442.0
78,98.0,2.0,3,2,1.0,Vila Izabel,545.5098039215686,820000,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,8367.34693877551
35,44.0,0.0,1,1,1.0,Centro,400.0,319000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7250.0
31,47.0,0.0,1,1,1.0,Vila Izabel,330.0,275000,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,5851.063829787234
66,89.0,1.0,2,2,1.0,outros,532.01741195093,571040,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,6416.179775280899
26,40.0,0.0,1,1,1.0,outros,532.01741195093,259900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6497.5
59,69.0,0.0,1,3,1.0,Cidade Industrial,432.0,305000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4420.289855072464
47,113.0,0.0,1,1,1.0,outros,532.01741195093,298000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2637.16814159292
105,105.0,1.0,2,3,1.0,outros,550.0,489000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4657.142857142857
89,141.0,1.0,2,3,2.0,Cidade Industrial,550.0,670000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4751.77304964539
113,140.0,3.0,3,3,2.0,outros,1051.0,700000,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,5000.0
87,102.0,1.0,2,3,1.0,outros,580.0,580000,False,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,True,False,5686.274509803921
69,69.0,1.0,2,2,1.0,Cidade Industrial,514.3671328671329,552900,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8013.04347826087
38,84.0,0.0,1,1,1.0,Cristo Rei,443.0,200000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2380.9523809523807
